,sentence,target_hr,fpr,dprime,acc,avg_cosine_dist_broad_gpt2-medium_layer-23,avg_cosine_dist_broad_electra,pcfg_surp_sum,sum_surp_ngram,avg_cosine_dist_broad_glove,avg_cosine_dist_broad_sbert,avg_cosine_dist_broad_bert-large-cased_layer-9,mean_mem,avg_cosine_dist_broad_use,avg_log_freq,sum_surp,condition
0,"""He didn't come home,"" Diego said.",0.7142857142857143,0.0666666666666666,0.6476190476190476,0.8275862068965517,0.0979002691268225,0.3355264717669408,93.40392,19.4414973417297,0.2041398367532546,0.6979587467163223,0.0535414427666098,0.7928057145805999,0.90403664,1.811238894651594,12.865827774240946,high
1,"""I think it's overblown,"" he said.",0.4193548387096774,0.0606060606060606,0.3587487781036168,0.6875,0.1263475322971292,0.3539292904457231,91.27265,17.685276210308075,0.2163518726209196,0.5504446084718051,0.0325627525956755,0.7770272023972414,0.9026603,2.4330258243574985,9.341066678365072,fmri
2,"""It'll give you nightmares,"" he advised.",0.5789473684210527,0.0238095238095238,0.5551378446115288,0.7875,0.0541368624360301,0.3336433092040182,118.92367,22.541057229042053,0.1808347899054072,0.6377260788368408,0.0348406744531535,0.7398992251664879,0.9084062,4.395625390346871,11.192936311165491,low
3,"""Smart,"" he says with a smile.",0.52,0.0,0.52,0.7735849056603774,0.0491268025345247,0.3729409697545629,97.51267,16.20937466621399,0.1694108147746316,0.649459690785437,0.0306250788111415,0.7591083699684265,0.9221227,6.964927799716861,9.07393221060435,mid
4,"""We were extremely worried,"" Tovan responded.",0.6060606060606061,0.0263157894736842,0.5797448165869219,0.8028169014084507,0.092754826198983,0.3496265237279108,104.59515,16.210773229599,0.2064788868490111,0.5919542619018567,0.0522685643816174,0.720065895865153,0.94194835,3.5542113133640023,14.06216843922933,low
5,"""Where are we going?"" said Victor.",0.6086956521739131,0.1379310344827586,0.4707646176911544,0.75,0.0604087346491749,0.3383205477399661,122.28997,17.31973108649254,0.1522140627687095,0.6030492772005489,0.0280658653051764,0.760427636197459,0.9193373,4.085314389722519,10.624154706796013,mid
6,A bunny can be fluffy sometimes.,0.7419354838709677,0.03125,0.7106854838709677,0.8571428571428571,0.0341623842837956,0.3692234232055187,76.47622,24.01586139202118,0.1874635235132069,0.7171535175695057,0.0355928564495129,0.756405018388036,0.923829,4.084877874039944,10.411552707354229,fmri
7,A car drove down the road.,0.7333333333333333,0.024390243902439,0.7089430894308942,0.8732394366197183,0.0340669558405427,0.2865011716325248,69.82388,13.596856117248535,0.2058041767828609,0.8151937052138375,0.0277372820901581,0.7549877599423095,0.92919075,6.963622133508427,7.721231420834859,fmri
8,"A childish notion, to be sure.",0.5483870967741935,0.027027027027027,0.5213600697471665,0.7794117647058824,0.0300237768468344,0.3332782242458066,71.53444999999999,20.59209370613098,0.1600470470184448,0.5969975314750727,0.0263808236527535,0.7283880392971415,0.9308569,6.514543967304598,9.074877858161926,fmri
9,A cigarette would taste particularly good.,0.9444444444444444,0.0,0.9444444444444444,0.9736842105263158,0.0255194078396114,0.2501516211909106,81.94831,21.84967815876007,0.1807300337152651,0.6722521457277394,0.0431040207505713,0.7517075384728805,0.9265819,5.901396079091402,10.197713454564411,fmri
10,A complimentary continental breakfast is included.,0.76,0.0357142857142857,0.7242857142857143,0.8679245283018868,0.0587367366172903,0.3360324746304332,81.60003,21.22153353691101,0.2906160814384921,0.7346337537760016,0.0352179588128169,0.763756438974687,0.9984593,3.659553052164701,10.204747080802916,mid
11,A couple of really quick questions.,0.64,0.1153846153846153,0.5246153846153846,0.7647058823529411,0.0453799337756181,0.2769582191965986,84.24004000000001,17.931322060525417,0.1588169703548334,0.6282512348998947,0.0297536834880108,0.7326211437731658,0.98137325,6.910305309577793,7.687548448642095,low
12,A creature both demon and beast.,0.8378378378378378,0.054054054054054,0.7837837837837838,0.8918918918918919,0.0406382414448778,0.3321873799407536,98.55978,23.11960542201996,0.227346185019217,0.7031932485824465,0.0294262693230355,0.7603445903018554,0.94869804,5.803417199583287,9.296522572636604,fmri
13,A crystal vial sat on it.,0.6363636363636364,0.0,0.6363636363636364,0.8260869565217391,0.0351571699937444,0.2434261912273468,76.21351,20.944783329963684,0.2206829662983949,0.7512169418464805,0.0421584462150975,0.7651111700909375,0.9251535,5.834630103452298,10.978933691978456,mid
14,A danger that was nearly tangible.,0.28,0.04,0.24,0.62,0.026449348431748,0.2674706080499009,75.61013,21.142038226127625,0.1712296314210326,0.5684185718280746,0.0305286272322234,0.7288863094441201,0.92793566,5.918328319733607,10.63100528717041,low
15,A festive reception concluded the afternoon.,0.4,0.0,0.4,0.7142857142857143,0.0394827628169499,0.2689437894028993,75.98882,20.013328075408936,0.2420392639629734,0.6940972462201572,0.0369841430860599,0.7387777426273535,0.9842231,4.763669038619871,11.758905251820885,low
16,A fully substantiated and provable fact.,0.3636363636363636,0.05,0.3136363636363636,0.684931506849315,0.0295910163098533,0.4049297621220036,95.19285,19.26445186138153,0.2518823617106993,0.6238140141982116,0.0317321251908882,0.7367790671110485,0.9731368,3.774205343683092,10.454726237803698,fmri
